,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
342,WDC,19221,2013,8.53,8.61,9.41,9.57,24,0.85,-0.563608809876364,82.693721187061,1.0816,0.774400000000001
343,WY,19039,2013,0.58,0.33,0.39,0.41,14,0.17,0.562080022423869,0.000321125596329032,0.0289,0.0361
344,WHR,19039,2013,7.05,6.73,6.13,6.42,6,0.9,6.6930243181765,0.127431637413355,0.3969,0.8464
345,WMB,19067,2013,1.11,1.23,1.49,1.51,13,0.13,1.41052736463789,0.0903166968961924,0.16,0.1444
346,WSM,19067,2013,2.58,2.24,2.45,2.45,28,0.05,2.22806803771004,0.123856106081265,0.0169,0.0169
347,WWW,19039,2013,1.145,1.24,1.32,1.32,11,0.02,0.753842968845466,0.153003823021629,0.030625,0.030625
348,WWY,16848,2007,2.01,1.928,2.13,2.12,11,0.06,2.05048104149135,0.00163871472022437,0.0121000000000001,0.0144
349,XLNX,19130,2013,1.79,1.99,2.01,2.04,30,0.09,1.9041326749121,0.0130262674825917,0.0625,0.0483999999999999
350,XRX,19039,2013,1.03,1.08,1.12,1.14,12,0.03,0.975447893579888,0.00297593231487118,0.0121,0.00810000000000002
351,YHOO,19039,2013,1.17,0.82,0.82,0.82,27,0.1,0.859123469077508,0.0966442174784029,0.1225,0.1225
352,ZBRA,19039,2013,2.53,2.44,2.6,2.61,8,0.07,3.10933177775805,0.335625308720301,0.00640000000000001,0.00490000000000004
353,DOX,19312,2013,2.92,2.71,2.91,2.92,14,0.03,2.94922357507297,0.000854017340045729,0,9.99999999999957e-05
354,CHKP,19011,2013,3.19,2.87,3.18,3.17,24,0.04,3.07312564602135,0.0136596146179261,0.000400000000000001,9.99999999999957e-05
355,QGEN,19039,2013,1,0.92,1,0.99,15,0.03,1.03377655058009,0.00114085536908933,1e-04,0
356,FLEX,19130,2013,0.84,0.89,1,1.01,12,0.04,0.901855453987876,0.00382609718804623,0.0289,0.0256
